                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9721,                 17.868,                 2.0091,                      0,                      0,                      0,                      0,                  5.807,                 10.052,                 2.0147,                    0.1,                      0,                      0
                      2,                 2.5284,                 14.398,                  0.622,                      0,                      0,                      0,                      0,                 5.4936,                 7.8671,                 1.8728,               0.099098,              9.802e-05,              9.802e-05
                      3,                 4.4532,                  10.98,                 1.5693,                      0,                      0,                      0,                      0,                 4.8175,                 7.1778,                 1.6211,               0.098192,             0.00019208,             0.00019208
                      4,                 4.9596,                  7.956,                 1.4788,                      0,                      0,                      0,                      0,                 5.2556,                 7.2875,                 1.8786,               0.097282,             0.00028218,             0.00028218
                      5,                 3.8079,                 5.4168,                 1.0992,                      0,                      0,                      0,                      0,                 4.3404,                 6.7723,                 1.5844,               0.096368,             0.00036832,             0.00036832
                      6,                 5.8051,                 10.757,                 1.4693,                      0,                      0,                      0,                      0,                 4.3092,                 6.5518,                 1.5245,               0.095451,              0.0004505,              0.0004505
                      7,                 5.6122,                 5.2187,                 1.2787,                      0,                      0,                      0,                      0,                 4.6072,                  6.154,                 1.5657,               0.094529,             0.00052872,             0.00052872
                      8,                 4.6176,                 5.7392,                 1.6549,                      0,                      0,                      0,                      0,                 4.8909,                 5.1263,                 1.6587,               0.093603,             0.00060298,             0.00060298
                      9,                 4.7522,                  4.919,                 1.2078,                      0,                      0,                      0,                      0,                 5.4064,                 5.3222,                 1.8264,               0.092673,             0.00067328,             0.00067328
                     10,                 4.8708,                  4.412,                  1.169,                      0,                      0,                      0,                      0,                  5.346,                 5.1037,                 1.9851,                0.09174,             0.00073962,             0.00073962
                     11,                 4.6742,                 5.1467,                 1.5972,                      0,                      0,                      0,                      0,                 5.2303,                 4.9291,                 2.0434,               0.090802,               0.000802,               0.000802
                     12,                 3.7561,                 3.8255,                 1.1104,                      0,                      0,                      0,                      0,                 4.6284,                  4.692,                 1.9646,                0.08986,             0.00086042,             0.00086042
                     13,                 3.5758,                 4.2634,                  1.127,                      0,                      0,                      0,                      0,                 4.4672,                 4.6139,                 1.9334,               0.088915,             0.00091488,             0.00091488
                     14,                 4.1834,                 4.4717,                 1.4114,                      0,                      0,                      0,                      0,                 4.3727,                 4.6983,                  1.638,               0.087965,             0.00096538,             0.00096538
                     15,                 4.3915,                 3.9773,                 1.1587,                      0,                      0,                      0,                      0,                 4.4425,                 4.9399,                 1.5908,               0.087012,              0.0010119,              0.0010119
